Course,Time Slot,Instructor,Room
 , , , 
CS499,"T 18:00 (165 min)","Parker, Peter","RABURN 232"
CS499,"TR 14:00 (75 min)","Richards, Reed","RABURN 232"
CS410W,"TR 12:00 (75 min)","Wayne, Bruce","RABURN 238"
CS410W,"M 18:00 (165 min)",green,"RABURN 238"
CS410W,"MWF 12:00 (50 min)","Parker, Peter","RABURN 238"
CS355,"TR 10:00 (75 min)","Richards, Reed","RABURN 238"
CS355,"MWF 13:00 (50 min)","Wayne, Bruce","RABURN 238"
CS245,"TR 10:00 (75 min)",green,"RABURN 239"
CS245,"M 18:00 (165 min)","Parker, Peter","RABURN 239"
CS245,"MWF 09:00 (50 min)","Richards, Reed","RABURN 238"
